epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.045,0.89304,0.78772,0.98399,0.86094,0.66351,0.74511,0.52946,1.0777,1.02539,1.08469,6.15184e-05,6.15184e-05,6.15184e-05
2,259.035,0.92297,0.81795,0.98964,0.80076,0.66609,0.72876,0.51305,1.07904,1.05036,1.08756,0.000120746,0.000120746,0.000120746
3,386.408,0.95374,0.88776,1.00182,0.8002,0.63392,0.7078,0.49074,1.13121,1.14064,1.11388,0.000177532,0.000177532,0.000177532
4,512.172,0.9769,0.92007,1.01731,0.81282,0.6282,0.71579,0.50666,1.11948,1.08885,1.11377,0.000174011,0.000174011,0.000174011
5,637.528,0.97016,0.90391,1.01229,0.80705,0.63761,0.72206,0.50687,1.12018,1.11462,1.12233,0.000170348,0.000170348,0.000170348
6,764.453,0.9724,0.90931,1.01748,0.82935,0.6384,0.71215,0.5025,1.08644,1.0851,1.09395,0.000166685,0.000166685,0.000166685
7,892.021,0.96953,0.89686,1.01899,0.81079,0.63781,0.71563,0.50998,1.09678,1.10983,1.09794,0.000163022,0.000163022,0.000163022
8,1021.48,0.97458,0.90348,1.01513,0.8621,0.64035,0.72582,0.51034,1.10665,1.11441,1.11953,0.000159359,0.000159359,0.000159359
9,1150.7,0.96368,0.87246,1.01334,0.8348,0.63857,0.72832,0.51776,1.09374,1.07231,1.10265,0.000155696,0.000155696,0.000155696
10,1280.81,0.94902,0.86378,1.00857,0.77573,0.66157,0.72266,0.5127,1.09504,1.08011,1.09865,0.000152033,0.000152033,0.000152033
11,1408.6,0.9568,0.85594,1.00551,0.79325,0.62656,0.70695,0.50329,1.0812,1.07623,1.08458,0.00014837,0.00014837,0.00014837
12,1538.04,0.95759,0.8498,1.01231,0.76486,0.6591,0.71159,0.51072,1.09252,1.08558,1.09647,0.000144707,0.000144707,0.000144707
13,1666.89,0.93219,0.82806,0.99633,0.85378,0.63321,0.7229,0.51367,1.09263,1.07049,1.09604,0.000141044,0.000141044,0.000141044
